"Name","Position","Team","Bye Week","Rank","Points","Risk","Upside","ADP","Tier","Outlook","Dynasty","Markers"
"George Pickens","WR","DAL","10","11","208.3","5.0","8.9","3.02","4","George! Jason’s My Guy came through in a huge way in his first season in Dallas. His stats are a bit juiced for those games without CeeDee Lamb, but the point remains - Pickens is a super talented WR who plays in a scheme we like with a QB in Dak who can support elite fantasy seasons. The only thing to consider for fantasy is that the ADP for him is higher than it was a season ago, so we are not getting any discounts here like we were a year ago when Pickens was available in the middle rounds.","Pickens’ dynasty outlook hangs in the balance after he signed the franchise tag with the Cowboys. Does he end up getting a huge extension with Dallas, or does he go chase the bag elsewhere in 2027? The upside is obviously there to be a top-12 to top-15 option, but the situation isn’t stable right now, given the contract question marks.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Tetairoa McMillan","WR","CAR","14","12","204.0","4.0","8.2","4.01","4","McMillan delivered on the promise of being a top-10 NFL Draft pick a year ago, finishing with just over 1,000 yards and seven scores. The draft capital, Year 1 production, and efficiency marks suggest McMillan is poised for another step forward in his sophomore campaign. After seeing 25.4% of the target share a year ago as a rookie, T Mac is on our short list of WRs who could push for upwards of a 30% market share. With his talent, that should mean great things for fantasy.","It is all there for McMillan to be one of the more valuable WRs in dynasty leagues moving forward. He broke out as a rookie, has elite draft capital, and has very little target competition on his own team. He is looking like a young building block for the foreseeable future, as we all have him inside our top-12 at the position.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Garrett Wilson","WR","NYJ","9","13","199.2","4.9","8.1","4.05","5","All this dude does is earn targets at an elite level. Since 2023, G Willy’s targets per route run rates are 25%, 25%, and 26%. Simply put, he is one of the best in the game at commanding a high target share. Unfortunately, that hasn't always translated into elite fantasy seasons, but we attribute that to lackluster QB play compared to other NFL WR1s. *Geno Smith has entered the chat.* Sadly, it could be the exact same scenario for Wilson in 2026. The talent is there, and the targets will be there, but the offensive environment could hold him back for fantasy once again. Nevertheless, he is a rock-solid WR2 for your team and gets a boost in full PPR formats.","If we can get this man a real QB, he could break fantasy. Until that problem is solved (maybe in 2027?!), his name will probably hold more value on your dynasty squad than the actual fantasy production. He is entering his age-26 season, and he signed a massive $130 million extension not that long ago, tying him to New York through the 2030 season.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Emeka Egbuka","WR","TB","9","14","198.5","5.5","8.1","5.08","5","Respectfully, Gronk. What the heck, dude?! Before Gronk called his man Ee-Meek-Ah Eg-Big-Boo, Egbuka was on fire, operating as the WR1 in Tampa en route to a true rookie year breakout. After Gronk’s snafu on live TV, Egbuka fell off the map, averaging just 3.2 catches and 41.1 yards per game from Week 6 on. If you zoom out, however, there are a lot of reasons for that - Egbuka played through a minor hammy injury, Baker got banged up, the O-line was injured, and Emeka’s catchable target rate was terrible. If drafts present an opportunity to buy back in on the former first-round pick, we are ready to pounce, especially with Mike Evans now in San Francisco and Chris Godwin another year older.","Despite the frustrating final two months of last year, there is still a lot to like with Egbuka. He is young, he is a former first-round pick who averaged 1.75 yards per route run, and he showed he can play in this league. Godwin may not be on this team much longer, so if there is any small buying window in your league on Egbuka, thanks to his up-and-down rookie year, we are definitely interested in seeing what it costs to get him on your dyno squad.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"DeVonta Smith","WR","PHI","9","15","198.2","3.4","7.6","5.08","5","Smitty has always been a great talent at the WR position, but his fantasy value has been held in check with AJ Brown on the roster. With Brown gone, expect ""Slim Reaper"" to be one of the hottest names in fantasy. Smith will have a chance to set career highs in targets, receptions, and yards as the Eagles’ new WR1. His ADP will probably skyrocket, but the excitement is warranted for a guy who’s averaged 14.5 PPR points per game without Brown in the lineup going back to 2022.","Smith has always had the talent to produce like a WR1, but he has been pigeon-holed as the second option in Philly ever since the Eagles traded for AJ Brown. That should change in a big way in 2026. Expect Smith’s dynasty value to skyrocket, but just be aware that he is already turning 28 years old later this year. He is still in his prime for now, but the window is probably closing faster than you might realize.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Tee Higgins","WR","CIN","10","16","195.3","6.1","8.3","4.01","5","Blurb- “Meat Higgins,” as he is known around Fantasy Footballers HQ, has now finished as a top-24 fantasy WR in four of the last five years as the Robin to Ja’Marr Chase’s Batman. As long as Joe Burrow stays healthy, we expect both guys to eat this year, with Higgins the more volatile option of the two Cincy WRs. We are fine with Higgins as a pick where he goes as a WR2 for your squad, but he has always got that sneaky WR1 upside if Chase happens to miss time.","Higgins still has three more years left on the contract extension that he signed before the 2025 season, and he is still just 27 years old. He likely has at least two to three more great seasons in him before we talk about a potential decline. Keep riding this thing out, especially if you are a contender.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Rashee Rice","WR","KC","10","17","194.5","9.5","8.3","3.09","5","Welp! Another offseason discussing Rashee Rice and his off-the-field issues. Rice missed the first six weeks of the 2025 season while serving a suspension, and this past offseason, he violated his probation when he tested positive for marijuana. As a result, he is serving jail time in June and July. On top of that, we also got news in late May that Rice underwent a “clean up” procedure in his knee that could sideline him for roughly two months. If you recall, Rice’s 2024 season came to an end after he suffered a season-ending LCL, hamstring and posterolateral corner injury. So, to recap, we have another legal issue and a health concern. It all adds up to make Rice a highly volatile player entering training camp, assuming he is cleared. When on the field, he produces like a WR1 for fantasy, but there are obviously concerns. We will be tracking his situation closely over the next few months.","If you are a Rice manager in dynasty, this latest off-the-field incident feels like a complete gut punch. He is so valuable in terms of his fantasy production, but he is in a contract year and likely losing trust with the Chiefs. If they aren’t willing to pay him, and he leaves the Andy Reid and Pat Mahomes scheme, does his future production take a hit, and what happens if he is in the news again for legal troubles? His dynasty value could take a massive hit in the next 12 months.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jameson Williams","WR","DET","8","18","190.5","5.3","7.7","5.04","5","You know what is fun? Jamo ripping off chunk gains thanks to some of that elite speed. Dan Campbell knows this. John Morton? Not so much. Before Guns Mahoney took over play calling, Jameson Williams’ role was frustrating for fantasy as he was used as a low-volume, high aDOT boom/bust type of guy. However, after Campbell took over the offense, Jameson Williams was one of fantasy’s most valuable WRs as he was on pace for 1,400 yards after the Week 8 bye. It is important to note that Sam LaPorta was also out for a big chunk of the season. Still, the point remains: Jamo is crucial to the Lions’ offense reaching its full potential, and he should continue to have a high upside role that is worth targeting in fantasy drafts.","Williams just signed a massive three-year extension with the Lions, so he is locked in with Detroit through 2029. It is possible he never turns into a consistent WR1 for fantasy, but he is an extremely valuable dynasty asset who can win you a week when those big plays hit.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Christian Watson","WR","GB","5","19","190.1","4.9","5.8","6.08","5","Watson’s bug-a-boo since he entered the NFL has been injuries. When he is on the field, he is highly efficient and scores plenty of fantasy points. That was on full display last season when he returned to the lineup in Week 8 off a torn ACL and went on to average 2.67 yards per route run and 11.5 fantasy points per game. The Packers’ depth chart is thinned out entering 2026, and Matthew Golden really struggled as a rookie, giving Watson relatively weak target competition for one of the better offenses in the league. There is a shaky floor with a guy like Watson due to durability concerns, but if you are looking for a high upside WR pick in the middle rounds, Watson can be nitro to your squad.","The Packers gave Watson a huge 4-year, $110 million contract extension in early June. They view him as a bonafide WR1 with this type of money but we have him in the low-end WR2 territory in dynasty.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Zay Flowers","WR","BAL","7","20","189.5","4.3","7.5","5.02","5","Flowers is coming off a highly efficient 2025 campaign, setting a career high in targets (118), receptions (86), and yards (1,211). Over the last two seasons, Zay has averaged 2.61 and 2.35 yards per route run. Those are some elite marks. The guy is good! Unfortunately, the one bug-a-boo for Zay in fantasy land has been TDs. Through three seasons, he has topped out at just five scores. In order to make the leap into being a real difference maker, he is going to need to find the painted box more often. Perhaps he can fall into an outlier TD year, but with Lamar stealing some attempts in the red zone and King Henry still here, that seems somewhat unlikely for 2026.","Flowers is in his prime, productive, and tied to one of the better offenses in the league. What’s not to like?! We are in on Zay in dynasty formats, viewing him as a top-24 guy. However, we aren’t sure if he can truly level up to being a top-12 type of asset. The ceiling feels capped, but he is a rock-solid WR to have on your dyno squad.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Terry McLaurin","WR","WAS","12","21","184.3","4.4","6.8","5.08","6","After being one of the most valuable WRs in fantasy in 2024, Scary Terry’s 2025 was a year to forget. Not only did McLaurin deal with injury throughout the season, but the Commanders also lost Jayden Daniels for a significant chunk of the year. To no one’s surprise, the Commanders’ offense was stuck in the mud in what was essentially a lost season. Now, looking forward to 2026, McLaurin has a chance to bounce back in a big way. The depth chart here behind McLaurin is barren, so it wouldn’t be surprising at all to see Terry push for a healthy target share and 8-10 TDs if things break right.","McLaurin got a new deal from Washington last year, but he is entering the stage of his career where you should expect some gradual decline over the next couple of seasons. He will be 31 later this year, so if you are not a contender, it is time to shop him to the rest of your league. If you are a top team in your league, we are fine riding it out and taking the production in 2026.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Malik Nabers","WR","NYG","14","22","184.2","7.0","9.0","2.10","6","When on the field and healthy, there aren’t many better than Malik Nabers. Unfortunately, the talk all offseason about Nabers is going to be injury, specifically his recovery from ACL and meniscus surgery. It is one of fantasy football’s biggest storylines to monitor throughout the summer. We are projecting him to be limited early in the season, so just understand that Nabers will come with risk in redraft leagues, and it is not out of the question that he could start the season on the PUP list. If and when he does get back to 100%, he is likely to provide a big impact to your team, but you might need to wait longer than you would prefer.","Nabers is a young superstar. Those guys are really hard to acquire in dynasty leagues, but this injury might provide a small buying window. If you are not a contender and can take on some risk with your sights set on the future, Nabers is a great trade target, knowing you could really get a bounce-back season in 2027.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jaylen Waddle","WR","DEN","12","23","180.3","4.0","5.0","4.10","6","For the first time in his career, Jaylen Waddle is going to be wearing a different uniform as he is now in Denver after being traded before the NFL Draft. The situation is clearly much better for scoring, playing with Sean Payton and Bo Nix versus Bobby Slowik and Malik Willis. The talent remains with Waddle, so there is upside here, but be mindful that Payton historically loves to use multiple WRs, RBs, and TEs to spread things out. We would love to say Waddle will dominate targets, but the more likely scenario is that Waddle will have to have a highly efficient season to be a difference maker for fantasy.","Waddle’s recent seasons have not been what we had hoped for after some excellent fantasy seasons to start his career. He has been banged up, Tua got injured and regressed in a big way, and Tyreek Hill was stealing plenty of targets in Miami. Perhaps a change of scenery will bring Waddle back to fantasy dominance, but it is also possible we have already seen the best season of his career. This time next year, he will be 28 years old, so if you are not a contender and can flip Waddle on the intrigue of the Broncos offense, it might not be a bad idea.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
