"Name","Position","Team","Bye Week","Rank","Points","Risk","Upside","ADP","Tier","Outlook","Dynasty","Markers"
"Chase Brown","RB","CIN","10","11","229.9","4.8","8.4","2.09","5","It looked like Brown might end up one of 2025’s biggest fantasy busts after averaging just 8.1 fantasy points per game on 51 total yards through the first five weeks of the season. He ended up becoming a league winner en route to seeing the fourth-most targets among all RBs while averaging 100 total yards per game from Week 6 on. The only yellow flag in his profile is his lack of major success inside the 5-yard line. Cincinnati failed to bring in any other significant RB competition, making Brown yet again a candidate to finish as an RB1 for the third year in a row as part of this Joe Burrow-led offense.","Brown survived yet another off-season where the Bengals failed to add a challenger in the RB room. As a PPR monster attached to a high-powered, Brown is in a sweet spot for fantasy as we consider him a fringe top-10 dynasty RB. Expect a potential off-season extension to surface this summer.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Saquon Barkley","RB","PHI","9","12","224.1","4.9","8.3","2.06","5","Coming off a legendary 2024 campaign and Super Bowl run, there were warning signs about regression coming across the board for Saquon and the Eagles' offense. He bottomed out in a number of areas, including plummeting from 17 runs of 20+ yards to only four in 2025. He also shockingly converted only one of his 13 carries inside the 5-yard line into a TD, but still volumed his way to finishing as the RB13. With an offensive coordinator change, we expect Saquon to bounce back in 2026 at a discounted price in the second round of your drafts. Your league mates might bring up the fact he was a “bust,” but we are willing to forgive and forget.","Entering his age-29 season, this is the time to make a decision on Saquon based on your team’s competitive window. If you are a contender, you can expect one more year of elite production, but rebuilds should consider shopping him for at least a first-round pick and another young piece. He is under contract for two more seasons, but we are not valuing him as an elite asset beyond 2026.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Josh Jacobs","RB","GB","5","13","223.3","9.2","7.4","3.01","5","It looked like Jacobs was going to repeat as a certifiable RB1 for fantasy, averaging 22 opportunities and 1.2 rushing TDs per game through the first ten weeks of the season. He hit a major wall down the stretch, dealing with a knee injury and averaging just 10.5 fantasy points from Week 13 on. We know what he is: a TD monster with a league-leading 24 rushing TDs inside the 10-yard line over the last two seasons. The workload should be there, but we are slightly lower than where he is being drafted, viewing the aging RB as more of a fringe top-12 guy.","While his contract says he has two more years left in Lambeau, there is language that would allow the Packers to get out after this year if he falters. At age 28, he fits the bill as someone moving along the age curve, and it is better to get out ahead of his dynasty lifecycle.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Kyren Williams","RB","LAR","8","14","217.3","5.5","8.0","3.11","6","Ever since Sean McVay gave Kyren the reins, he has been amazing for fantasy, finishing as a top-10 back in three straight seasons. He is rarely hitting big plays or flashing elite speed in the open field, but he is as dependable as they come, and McVay trusts this dude. Blake Corum is probably going to steal a few TDs and work in for a handful of touches per game, but when the game is on the line, McVay is calling Kyren’s number. In 2026, he is projected as a volume-based high-end RB2 who could bank another RB1 finish if the TDs go his way.","Williams signed a three-year extension with the Rams, but fantasy managers should really treat this like a two-year window. He is already entering his age-26 season.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jeremiyah Love","RB","ARI","","15","213.2","5.2","8.0","2.06","6","The Notre Dame superstar became the highest draft RB since Saquon Barkley after the Cardinals selected him third overall. His combination of size, speed, early breakout age (19.3), and production is a recipe for success at the next level. However, with Tyler Allgeier and James Conner on the roster as well as a bevy of legit pass-catchers, we might need to temper expectations for fantasy. His weekly workload will be in question despite the fact that RBs drafted inside the top 10 have averaged 19+ touches per game in Year 1 over the last decade. We have Love ranked as an RB2 for 2026.","While the landing spot might not seem ideal in the present, we are not worried at all about Love’s long-term trajectory. Consider how Bijan had a similar beginning with Allgeier stealing goal-line looks alongside the all-world RB. We have him firmly ranked inside our top-5 RBs in startups and a true building block in dynasty.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Cam Skattebo","RB","NYG","14","16","210.3","6.3","7.5","5.05","6","How good was the Skatt man for the 10 weeks of the season? He was the RB10, averaging 14.5 fantasy points per game, including a month’s stretch where the Giants fed him the ball 22+ times a game. His gruesome ankle fracture was tough to watch, as his energy and enthusiasm made him one of our favorite players to watch in 2025. He came out saying he would be ready for Week 1, but we would expect his best football to be played in the back half of the season, as it may take time to regain his explosiveness and dynamic ability. Consider him an RB2 for your fantasy squads on a run-heavy Giants team with an improved offensive line and a new scheme.","Before going down to injury, he ripped off six straight top-24 weekly finishes among RBs, so he clearly has the skillset to succeed in the game we play. That said, whenever there is a regime change, the dynasty value for Day 3 RBs is always a bit murky. For now, he is the clear best fantasy option in the backfield and a mid-RB2 in our startup rankings.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Breece Hall","RB","NYJ","9","17","207.1","5.3","8.1","3.10","7","After signing a three-year extension following a tumultuous offseason, it is clear Breece remains the Jets’ main guy in the backfield. The opportunities to score were slim in 2025 as the Jets were tied or trailing on 93% of their offensive snaps, the worst rate in the league. Zoom out a bit further, and you will see that the team ranked dead last in rush attempts inside the 5-yard line for the third year in a row. His volume and breakaway run rate can make up for the team’s shortcomings. With a 45+ reception floor, Hall can be a valuable RB2 and potentially finish as an RB1 if the TDs finally fall in his favor.","It feels like Breece has already lived nine lives in the NFL (playing for the Jets will do that), but he is still not even 25 years old. One of the most productive and efficient backs over the last three seasons, the Jets rewarded Breece with a brand new three-year deal worth just over $15 million per year. Some dynasty managers out there may have been hoping for Breece to finally be unleashed on a new team and hopefully a better offense, but this contract says he will get plenty of volume in New York.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Bucky Irving","RB","TB","9","18","206.3","5.8","7.7","3.05","7","While the majority of 2025 fantasy RBs stayed healthy, Irving dealt with foot and shoulder injuries, limiting him to just 10 games. He was extremely ineffective, ranking 51st in rush success rate and 47th in explosive rush rate among 55 qualifying RBs. The Buccaneers also failed to give him a single carry inside the 5-yard line all season! We still believe in the talent, but Irving is shaping up to be one of the bigger wildcard picks in the early rounds. Kenneth Gainwell will certainly steal passing downs work, and Sean Tucker was re-signed to be the Bucs’ red-zone hammer. If you still are bullish on Bucky, shoot your shot as your team’s RB2 in hopes the entire offense resets in 2026.","From Day 3 pick to dynasty darling, Bucky’s rough 2025 campaign can be chalked up to injuries, a new play-caller, and a spell of unfortunate TD luck. We have him firmly ranked as a high-end RB2 in dynasty startups, given his age (24 years old) and the game-breaking talent he displayed as a rookie.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Javonte Williams","RB","DAL","10","19","204.3","4.3","7.7","4.05","7","One of the best fantasy stories of 2025 had to be the resurgence of Javonte Williams as Dallas' RB1. Among qualified RBs, Javonte was fourth in yards after contact per attempt while seeing 19 opportunities per game. For the first four years of his frustrating career, he had eight total TDs inside the 5-yard line; in 2025, he had 10! With no direct competition for touches, Javonte is a solid RB2 as part of a Dallas offense we love buying into for fantasy.","We did it! The Javonte hive that held strong after years of disappointment had its breakthrough in dynasty.  After a bounce-back season, Dallas rewarded him with a three-year extension that includes $16 million in guaranteed money. His receiving efficiency was puzzling as he totaled a putrid 137 receiving yards on 51 targets, the fewest of any player with 50+ targets over the last 40 years! Expect at least two years of legitimate production.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Quinshon Judkins","RB","CLE","9","20","198.8","5.0","7.6","5.11","7","Judkins was everything the Browns envisioned when they selected him 34th overall in last year’s draft. Despite the team’s lack of success, he was a workhorse, averaging 18.3 touches per game and 34% of the team's total rush attempts and targets before a brutal dislocated ankle and fractured fibula ended his season in Week 16. He has a chance to be cleared for Week 1, though he will not be 100% when the season begins. Expect his production to pick up in the second half of the season, making him an awkward selection in the middle rounds of your draft.","He is expected to make a full recovery for the 2026 season and should be viewed as a top-12 dynasty RB even on a bad football team. He has the size and three-down skillset to be an elite performer for the next handful of years.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"D'Andre Swift","RB","CHI","5","21","193.9","5.3","6.8","5.11","7","Over the last six years, only two RBs finished inside the top 24 at the position every year: Derrick Henry and D'Andre Swift. Yep, it isn’t always the sexiest outcomes, but Swift is the clear lead back for a Chicago offense we want pieces of in fantasy. He set career highs in rushing yards, rushing TDs, and rush success rate behind a much- improved Bears offensive line. Over the back half of the season, he did cede work to Kyle Monangai, but we still view Swift as the lead guy in a 60-40 backfield. Does he make it seven years in a row as an RB2? Our projections certainly think so.","The 27-year-old has one more year under contract, but dynasty managers could look to flip him to RB-needy teams if they are looking to profit.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"TreVeyon Henderson","RB","NE","14","22","192.4","5.1","8.2","4.11","7","Stop if you have heard this before: we love us some Hendo. It was a painfully slow start to his career, but he broke out in the second half as the RB8 from Week 9 on, averaging 16.7 fantasy points per game. When Rhamondre Stevenson was out for a month, he showcased bell cow capabilities, averaging 20+ opportunities per game and an 80% snap rate. We know he is explosive, but will the coaching staff trust him as the team’s main passing-downs back in 2026? He carries massive upside at his ADP, but we would recommend building out RB depth on your roster around him as you navigate the beginning of the season with Hendo.","He is one of six rookie RBs to average 5+ yards per carry, sport a 50+ % rush success rate, and score 10+ TDs since 2000. Yet, we still have concerns that Rhamondre Stevenson’s contract could hold him back from truly hitting his fantasy ceiling. We have him ranked as a top-15 RB in dynasty formats, but our projections might have him end up finishing lower for 2026.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Travis Etienne Jr.","RB","NO","8","23","192.2","4.6","7.6","4.02","7","After Jacksonville’s Week 8 bye, Etienne turned into a fantasy force, averaging 17.5 fantasy points per game as the RB7. He was a wild outlier as a pass-catcher, becoming the third RB over the last 25 years to score 6+ rec TDs on fewer than 40 receptions. The main headline for the man formerly known as Travis Etienne Jr. was the four-year free agent deal he signed to come home to New Orleans and be crowned Travis “Aychane” Jr. With Alvin Kamara phasing out of the team’s plans, Etienne will be given every opportunity to be a workhorse for this Kellen Moore-designed offense. While the Saint’s weekly TD expectation might be low, he should end up a solid RB2 on volume alone.","The finer details of Etienne’s deal need to be discussed, as his four-year contract sneakily is a “two-year” deal, as he carries a $0 dead cap hit in 2028. In the short term, the 27-year-old should hold RB2 value as the main workhorse for the Saints’ running game. We are not banking on anything of significant value after these first two years of the contract.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Bhayshul Tuten","RB","JAX","8","24","187.5","6.4","7.6","5.06","7","Despite playing behind Travis Etienne Jr., the fourth-round pick finished fifth in rush success rate and 11th in forced missed tackle rate among 55 qualifying RBs. He was also much better inside the 10-yard line than Etienne, converting his eight rush attempts into five scores compared to 26 and only four. He profiled as a tackle-breaker coming out of college and now has a chance to be the lead back on an offense we like after Travis Etienne signed in New Orleans. We can see him return RB2 fantasy value on an offense we want pieces from for our rosters.","Tuten was one of our “trade-for” targets all off-season, and he escaped the NFL Draft without much competition. The Jags did sign Chris Rodriguez Jr. in free agency, which does add some uncertainty here, but we are betting on Tuten to emerge as the RB1 for Liam Coen.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"David Montgomery","RB","HOU","8","25","184.5","4.1","6.8","6.05","7","The Texans must have a type: past-their-prime early down runners who can be effective scoring TDs in bunches. Montgomery's value received a major boost when he was traded from Detroit to Houston as the team was desperately searching for an answer inside the red zone. The team converted a league-worst 17% of their attempts inside the 5-yard line into TDs, with the league-average being 39%. Monty should see 18+ touches a game and return low-end RB2 value for a team that wants to win by running the ball and leaning on their defense.","Monty has two more years left under contract until his age-30 season. While that might be too far to consider in dynasty, he remains an undervalued asset for win-now teams. He is a hold for now, knowing his value could rise for RB-needy teams as you draw closer to your league’s trade deadline.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Chuba Hubbard","RB","CAR","14","26","182.3","3.9","6.7","8.02","7","The 27-year-old Chuba finds himself as the presumed lead back in Carolina a year after taking a backseat to Rico Dowdle. The efficiency numbers weren’t pretty, averaging a paltry 3.8 yards per carry with only 6% of his runs gaining 10+ yards, the fourth lowest rate among qualifying RBs. Hubbard could face some competition from former second-round pick Jonathon Brooks, but our projections still have Hubbard seeing the lion’s share of workload for the Panthers. He remains a value in drafts and a low-end RB2/FLEX worth filling out your roster with.","Chuba is a hold right now for RB-needy teams. Keep in mind, he failed to have a single run of 15+ yards on the season, so this is purely a volume-based play. He enters his age-27 season as the presumed lead back and is under contract for three more seasons. However, perhaps Jonathon Brooks begins working more in the rotation.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jadarian Price","RB","SEA","","27","160.7","5.8","7.1","11.03","8","After much speculation before the NFL Draft, the Seahawks took the Notre Dame RB with the final pick of Round 1. Price’s selection looks even stronger, knowing we did not see another RB drafted until the end of Round 3. His initial burst plus his contact balance make for a lethal combo, although he was not utilized much in the passing game in college, with just 15 total receptions over three years. With Zach Charbonnet on the mend from an ACL injury, Price found arguably the best landing spot for a rookie RB in 2026. The Seahawks are favored in each of their first 10 matchups. We have him ranked as a high-end FLEX option with the expectation that his draft stock could rise throughout the summer.","As Winston Churchill once said, some things are ""a riddle, wrapped in a mystery, inside an enigma.” Price was a confusing prospect to evaluate as the backup to Jeremiyah Love with minimal college production, and yet became only the second RB over the last decade drafted in Rounds 1-3 that had fewer than 700 rushing yards in his final college season. Opportunity is everything, and on a Super Bowl-winning team, he should have the chance to be this team’s lead back of the future.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jaylen Warren","RB","PIT","5","28","159.6","4.4","6.2","6.07","8","Warren had a high floor throughout the season, averaging 16 opportunities per game and 12.3 fantasy points per game while receiving a “B” in our consistency metrics. While he ceded passing downs work to Kenneth Gainwell down the stretch, it was the best fantasy season of Warren’s four-year career, thanks to an increase in workload. He was rather pedestrian inside the 5-yard line, converting only four of his 14 carries. His outlook for 2026 is souring with the signing of Rico Dowdle and the arrival of a new coaching regime. He is stuck in a complicated backfield mess, profiling more as a FLEX, knowing he could take a backseat to Dowdle at some point.","The former UDFA is under contract for two more seasons, although his dead cap hit in 2027 ($1.9 million) gives the team an out. He feels like an RB you are just happy has held FLEX value for a few seasons. If someone out there is willing to pay more for his services, we do not mind packaging him in a deal as he enters his age-28 season.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Rhamondre Stevenson","RB","NE","14","29","153.1","4.8","5.6","7.02","8","Stevenson finished the season as the RB25, thanks to the final three weeks of the season, where he scored six TDs despite averaging just 11 touches per game. He was quietly a pass-catching fiend throughout the year, leading all RBs in yards per target (9.3) and a thorn in the side of TreVeyon Henderson truthers. This regime seems more confident in Stevenson in pass protection, as we expect this to remain a 50-50 timeshare. He is a FLEX option to start the year on a Patriots team that will have a much tougher schedule in 2026.","Entering his age-28 season, Stevenson remains a fixture in the New England offense after averaging 21 opportunities per game during the NFL playoffs. He is under contract for three more seasons with cap hits climbing until a cuttable final year in 2028 with a $1.6 million dead cap.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Rico Dowdle","RB","PIT","14","30","152.3","4.5","4.0","7.11","8","After Chuba Hubbard was hurt in Week 5 last year, Rico essentially stole the RB1 role in Carolina; he was highly productive with his opportunities, mixing in some wild 30+ fantasy point spike weeks. Mr. ""Two Pumps"" Dowdle rushed for 1,076 yards this past season and ran for a career high six TDs as the leader of the committee in Carolina. Dowdle has been the lead guy for two different teams now, and while he may not be an elite talent, the guy just gets the job done. He lands in Pittsburgh reunited with former coach Mike McCarthy alongside Jaylen Warren. Consider Rico a “FLEX with benefits” to start the year.","During the last two years in Dallas and Carolina, he showed he can be reliable with 200+ touches in each season. His two-year deal includes just $5 million guaranteed, and his cap hit in 2027 jumps to $8.5 million. Consider this a one-year experiment, hoping he can regain the magic he had with McCarthy in Dallas.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Tony Pollard","RB","TEN","10","31","149.8","5.6","5.9","7.10","8","Pollard might have been the most boring fantasy selection at RB in 2025. The first 13 weeks were utter garbage as he averaged 15+ touches per game while turning that volume into a measly 7.9 fantasy points per game. Woof. He did save the best for last, turning it on in the final month of the fantasy season with four top-20 finishes in a row while averaging 113 rushing yards per game. The 29-year-old is hitting the crashing point in the lifecycle of an NFL RB and enters the final year of his Titans contract as the lead back on an offense that hopefully takes a step forward under new OC Brian Daboll. If dirty, dirty RB volume is your thing, Pollard can be a FLEX for your team for one last ride in 2026.","We are a long way from the high-impact, efficiency monster he was behind Zeke in Dallas. He enters the final season of his free agent deal, sputtering to the finish line. The Titans are favored in just one of their first six games, so pray Pollard falls into the end zone.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Kyle Monangai","RB","CHI","5","32","147.1","5.8","5.7","7.07","8","The seventh-round Monangai was a revelation, tag-teaming with Swift as the Bears posted the sixth-most total rushing yards in the league. Monangai was a machine, gaining 5+ yards on 42.6% of his carries, the second-highest rate in the NFL behind only Kyren Williams. He certainly has juice with the upside to see a big workload if Swift went down, as evidenced by a Week 9 game where Ben Johnson turned full sicko, feeding Monangai the ball 31(!) times. Consider Monangai a “FLEX with benefits” later in your draft.","It is tough to gauge Monangai’s long-term value as his draft capital suggests this team could draft a high-end back in 2027 once Swift is a free agent. For now, he sits inside our top-36 RBs in startups, knowing there is volatility moving forward.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jacory Croskey-Merritt","RB","WAS","12","33","143.3","6.3","5.9","10.09","8","BILL CROSKEY!  The subject of Footballers fame burst onto the scene last summer as a seventh-round NFL draft pick and ultimately lost his starting job to Chris Rodriguez Jr. He converted just three of his 12 carries inside the 5-yard line to TDs last year and now finds more competition in the backfield with Rachaad White’s signing and rookie Kaytron Allen. While things look good on paper for Bill entering 2026, this is a buyer-beware situation. Washington is favored in just two of its first 10 games.","BILL BILL BILL! He could hear sign language and dribble a bowling ball, but he could not overcome Chris Rodriguez Jr.! We have seen this story before, with NFL teams rarely handing over the keys to the backfield to unreliable Day 3 backs. For dynasty purposes, he is a hold unless someone in your league just heard their first tall tale of BILL CROSKEY and is ready to fork over some future picks.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
